seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
8,baseline,"dro",(None),0.8351539225422046,0.9572301425661914,0.7189922480620154,0.24960961582029673,0.9970089730807578,0.6745796241345203,0.3224293489462374,0.6766033630069239,0.4885343968095713,0.731948565776459,0.24341416896688767,0.667443615100644,0.9979550102249489,0.9168356997971603,0.08111931042778864,0.9187144614770725,0.9961089494163424,0.444015444015444,0.5520935054008984,0.44574987934362936,0.3
8,baseline,"dro",(None),0.7229394240317776,1.0,0.45930232558139533,0.5569983667267914,0.9601196410767697,0.4876360039564787,0.472483637120291,0.5078908743181185,0.5274177467597209,1.0,0.47258225324027914,0.5274177467597209,1.0,1.0,0.0,1.0,0.9221789883268483,0.0,0.9221789883268483,0.0,1.0
9,baseline,"dro",(None),0.6981132075471698,0.4959266802443992,0.8905038759689923,0.41188063348417536,0.998997995991984,0.40255905511811024,0.5964389408738737,0.402962825484327,0.4879759519038076,0.11122047244094488,0.3767554794628627,0.22792203592620738,1.0,0.0020161290322580645,0.9979838709677419,0.0020161290322580645,0.998046875,0.7846153846153846,0.2134314903846154,0.7861508354659039,0.01
9,baseline,"dro",(None),0.6285998013902682,0.5885947046843177,0.6666666666666666,0.06003822172657443,0.998997995991984,0.26476377952755903,0.734234216464425,0.2650293399884693,0.4879759519038076,0.4281496062992126,0.05982634560459499,0.877398987857524,1.0,0.18548387096774194,0.814516129032258,0.18548387096774194,0.998046875,0.3403846153846154,0.6576622596153846,0.341050730091826,0.1
9,baseline,"dro",(None),0.740317775571003,0.9969450101832994,0.49612403100775193,0.5914041686500614,0.996993987975952,0.4881889763779528,0.5088050115979992,0.48966090293989634,0.48396793587174347,1.0,0.5160320641282565,0.48396793587174347,0.9938271604938271,1.0,0.006172839506172867,0.9938271604938271,1.0,0.0,1.0,0.0,0.3
9,baseline,"dro",(None),0.7254220456802384,0.9755600814663951,0.4874031007751938,0.600663727273112,0.966933867735471,0.4881889763779528,0.4787448913575182,0.5048835216841419,0.47194388777555113,1.0,0.5280561122244489,0.47194388777555113,0.9506172839506173,1.0,0.04938271604938271,0.9506172839506173,0.982421875,0.0,0.982421875,0.0,1.0
10,baseline,"dro",(None),0.753227408142999,0.49490835030549896,0.999031007751938,0.5585997568080153,0.9960707269155207,0.5050200803212851,0.4910506465942356,0.5070122699872468,0.47838899803536344,0.0,0.47838899803536344,0.0,0.9938650306748467,0.0,0.9938650306748467,0.0,0.998109640831758,1.0,0.001890359168241984,0.998109640831758,0.01
10,baseline,"dro",(None),0.7537239324726912,0.4959266802443992,0.999031007751938,0.5593561589979588,0.9970530451866405,0.5050200803212851,0.4920329648653554,0.5065127505094268,0.4793713163064833,0.0,0.4793713163064833,0.0,0.9959100204498977,0.0,0.9959100204498977,0.0,0.998109640831758,1.0,0.001890359168241984,0.998109640831758,0.1
10,baseline,"dro",(None),0.7527308838133069,0.6822810590631364,0.8197674418604651,0.10712562925353987,0.9970530451866405,0.5030120481927711,0.4940409969938694,0.5044987833105823,0.4774066797642436,0.3714859437751004,0.1059207359891432,0.7781331085659511,0.9938650306748467,0.37322515212981744,0.6206398785450292,0.3755290110935817,1.0,0.6302186878727635,0.36978131212723653,0.6302186878727635,0.3
10,baseline,"dro",(None),0.7482621648460774,0.48574338085539714,0.998062015503876,0.5525471548606379,0.9862475442043221,0.5050200803212851,0.48122746388303705,0.5120621929950879,0.47053045186640474,0.0,0.47053045186640474,0.0,0.9754601226993865,0.0,0.9754601226993865,0.0,0.996219281663516,1.0,0.003780718336483968,0.996219281663516,1.0
11,baseline,"dro",(None),0.8346573982125124,0.8156822810590632,0.8527131782945736,0.03354607530321968,0.674901185770751,0.9960079840319361,0.32110679826118516,0.6776062005433793,0.45652173913043476,0.49001996007984033,0.03349822094940558,0.9316390684494819,0.6348884381338742,0.9979550102249489,0.36306657209107474,0.6361894390316895,0.7129094412331407,0.9941520467836257,0.28124260555048497,0.717103026181571,0.01
