approach,Seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_1,Accuracy_sens_0,Accuracy_sens_0-sens_1,Accuracy_sens_0/sens_1,prob_pos_sens_1,prob_pos_sens_0,prob_pos_sens_0-sens_1,prob_pos_sens_0/sens_1,TPR_sens_1,TPR_sens_0,TPR_sens_0-sens_1,TPR_sens_0/sens_1,TNR_sens_1,TNR_sens_0,TNR_sens_0-sens_1,TNR_sens_0/sens_1
0.01,67,train,DRO,(None),n/a,n/a,0.802383317,0.600814664,0.994186047,0.459151931,0.606820461,0.994100295,0.387279834,0.61042177,0.084252758,0.503441495,0.419188736,0.167353623,0.176470588,1,0.823529412,0.176470588,1,0.988258317,0.011741683,0.988258317
0.01,68,train,DRO,(None),n/a,n/a,0.829692155,0.655804481,0.995155039,0.375803462,0.995044599,0.663681592,0.331363007,0.666986779,0.497522299,0.146268657,0.351253643,0.293994173,1,0.303092784,0.696907216,0.303092784,0.990234375,1,0.009765625,0.990234375
0.01,69,train,DRO,(None),n/a,n/a,0.85203575,0.700610998,0.996124031,0.284446341,0.708910891,0.996015936,0.287105045,0.711746535,0.208910891,0.479083665,0.270172774,0.436063482,0.417821782,1,0.582178218,0.417821782,1,0.992409867,0.007590133,0.992409867
0.01,70,train,DRO,(None),n/a,n/a,0.911122145,0.821792261,0.996124031,0.158071653,0.824419778,0.995112414,0.170692636,0.828468991,0.323915237,0.478983382,0.155068145,0.676255689,0.648484848,0.997946612,0.349461763,0.649819179,1,0.992537313,0.007462687,0.992537313
0.01,71,train,DRO,(None),n/a,n/a,0.97020854,0.941955193,0.997093023,0.087685538,0.997058824,0.942655936,0.054402888,0.945436632,0.503921569,0.416498994,0.087422575,0.826515513,1,0.878980892,0.121019108,0.878980892,0.99410609,1,0.00589391,0.99410609
0.01,72,train,DRO,(None),n/a,n/a,0.95183714,0.906313646,0.995155039,0.114983091,0.994850669,0.911792905,0.083057764,0.91651233,0.503604531,0.389261745,0.114342786,0.772951236,1,0.815261044,0.184738956,0.815261044,0.98973306,1,0.01026694,0.98973306
0.01,73,train,DRO,(None),n/a,n/a,0.954816286,0.910386965,0.997093023,0.119313797,0.911468813,0.997058824,0.085590011,0.914157511,0.385311871,0.503921569,0.118609697,0.764626671,0.813163482,1,0.186836518,0.813163482,1,0.99410609,0.00589391,0.99410609
0.01,74,train,DRO,(None),n/a,n/a,0.95183714,0.904276986,0.997093023,0.10129383,0.99707887,0.904761905,0.092316966,0.907412574,0.491723466,0.391084093,0.100639373,0.795333394,1,0.804166667,0.195833333,0.804166667,0.994285714,1,0.005714286,0.994285714
0.01,75,train,DRO,(None),n/a,n/a,0.902681231,0.802443992,0.998062016,0.178468869,0.808678501,0.998,0.189321499,0.810299099,0.305719921,0.48,0.174280079,0.636916502,0.615079365,1,0.384920635,0.615079365,1,0.996168582,0.003831418,0.996168582
0.01,76,train,DRO,(None),n/a,n/a,0.957795432,0.920570265,0.993217054,0.043490922,0.926174497,0.991761071,0.065586574,0.933868573,0.431447747,0.47476828,0.043320533,0.908754365,0.853889943,0.997802198,0.143912255,0.855770758,1,0.986434109,0.013565891,0.986434109
0.01,77,train,DRO,(None),n/a,n/a,0.875868918,0.757637475,0.988372093,0.250244559,0.767350929,0.987891019,0.220540091,0.77675666,0.256109482,0.498486377,0.242376895,0.513774285,0.524,1,0.476,0.524,1,0.976424361,0.023575639,0.976424361
0.01,78,train,DRO,(None),n/a,n/a,0.968222443,0.939918534,0.995155039,0.068031591,0.941929134,0.99498998,0.053060846,0.946671979,0.427165354,0.49498998,0.067824626,0.862977781,0.880324544,1,0.119675456,0.880324544,1,0.990176817,0.009823183,0.990176817
0.01,79,train,DRO,(None),n/a,n/a,0.743793446,0.483706721,0.99127907,0.580595113,0.989701339,0.514860978,0.474840361,0.520218532,0.497425335,0.000958773,0.496466562,0.001927471,0.997894737,0.001972387,0.99592235,0.001976548,0.981854839,1,0.018145161,0.981854839
0.01,80,train,DRO,(None),n/a,n/a,0.960774578,0.923625255,0.996124031,0.078619735,0.9960199,0.925668979,0.070350921,0.929367956,0.491542289,0.413280476,0.078261813,0.840783154,1,0.847560976,0.152439024,0.847560976,0.99223301,1,0.00776699,0.99223301
0.01,81,train,DRO,(None),n/a,n/a,0.870903674,0.740325866,0.995155039,0.303149297,0.994954591,0.750733138,0.244221453,0.754540101,0.51160444,0.219941349,0.291663091,0.429905083,1,0.46875,0.53125,0.46875,0.989775051,1,0.010224949,0.989775051
0.01,82,train,DRO,(None),n/a,n/a,0.917576961,0.83401222,0.997093023,0.129682585,0.997026759,0.837810945,0.159215814,0.840309387,0.471754212,0.344278607,0.127475605,0.729783854,1,0.679764244,0.320235756,0.679764244,0.994402985,1,0.005597015,0.994402985
0.01,83,train,DRO,(None),n/a,n/a,0.834160874,0.66802444,0.992248062,0.28859622,0.991794872,0.686236766,0.305558106,0.691914009,0.46974359,0.198267565,0.271476025,0.422076148,1,0.387218045,0.612781955,0.387218045,0.984761905,1,0.015238095,0.984761905
0.01,84,train,DRO,(None),n/a,n/a,0.869910626,0.734215886,0.999031008,0.264792367,0.742857143,0.998998999,0.256141856,0.743601489,0.232512315,0.486486486,0.253974171,0.477941981,0.474849095,1,0.525150905,0.474849095,1,0.998054475,0.001945525,0.998054475
0.01,85,train,DRO,(None),n/a,n/a,0.859980139,0.716904277,0.996124031,0.313564309,0.725296443,0.996007984,0.270711541,0.728203442,0.20256917,0.501996008,0.299426838,0.403527452,0.424430642,1,0.575569358,0.424430642,1,0.992047714,0.007952286,0.992047714
0.01,86,train,DRO,(None),n/a,n/a,0.957298908,0.923625255,0.989341085,0.072722123,0.988944724,0.92639843,0.062546294,0.93675451,0.492462312,0.420019627,0.072442684,0.852896998,1,0.850894632,0.149105368,0.850894632,0.978682171,1,0.021317829,0.978682171
0.01,87,train,DRO,(None),n/a,n/a,0.908639523,0.813645621,0.999031008,0.198001122,0.821637427,0.998987854,0.177350427,0.822469886,0.30214425,0.495951417,0.193807167,0.609221466,0.628803245,1,0.371196755,0.628803245,1,0.997995992,0.002004008,0.997995992
0.01,88,train,DRO,(None),n/a,n/a,0.983118173,0.966395112,0.999031008,0.049732168,0.999006951,0.967229394,0.031777557,0.968190855,0.49652433,0.446871897,0.049652433,0.9,1,0.931677019,0.068322981,0.931677019,0.998031496,1,0.001968504,0.998031496
0.01,89,train,DRO,(None),n/a,n/a,0.962760675,0.928716904,0.995155039,0.067760863,0.994918699,0.932038835,0.062879864,0.936798992,0.489837398,0.422330097,0.067507301,0.862184265,1,0.861386139,0.138613861,0.861386139,0.990138067,1,0.009861933,0.990138067
0.01,90,train,DRO,(None),n/a,n/a,0.973187686,0.947046843,0.998062016,0.060022442,0.948484848,0.997070313,0.048585464,0.951271778,0.432323232,0.4921875,0.059864268,0.878371012,0.893528184,0.998011928,0.104483745,0.89530812,1,0.996161228,0.003838772,0.996161228
0.01,91,train,DRO,(None),n/a,n/a,0.817279047,0.627291242,0.998062016,0.416815984,0.998139535,0.610223642,0.387915893,0.611361058,0.486511628,0.101171459,0.385340169,0.207952808,1,0.206073753,0.793926247,0.206073753,0.996389892,1,0.003610108,0.996389892
0.01,92,train,DRO,(None),n/a,n/a,0.918073486,0.83401222,0.998062016,0.175793996,0.839882122,0.997991968,0.158109846,0.841572025,0.322200393,0.49497992,0.172779527,0.650936291,0.66802444,1,0.33197556,0.66802444,1,0.996039604,0.003960396,0.996039604
0.01,93,train,DRO,(None),n/a,n/a,0.922542205,0.844195519,0.997093023,0.196249183,0.849261084,0.996996997,0.147735913,0.851819099,0.317241379,0.510510511,0.193269131,0.621419878,0.677894737,1,0.322105263,0.677894737,1,0.993902439,0.006097561,0.993902439
0.01,94,train,DRO,(None),n/a,n/a,0.953823237,0.907331976,0.998062016,0.082725903,0.913662239,0.997916667,0.084254428,0.915569676,0.404174573,0.486458333,0.08228376,0.830851371,0.823984526,1,0.176015474,0.823984526,1,0.995959596,0.004040404,0.995959596
