approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
ranking,711,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.681886228,0.407185629,0.956586826,0.252618813,0.330838323,0.119760479,0.211077844,0.36199095,0.580838323,0.233532934,0.347305389,0.402061856,0.919161677,0.994011976,0.074850299,0.924698795
ranking,711,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.681886228,0.407185629,0.956586826,0.252618813,0.330838323,0.119760479,0.211077844,0.36199095,0.580838323,0.233532934,0.347305389,0.402061856,0.919161677,0.994011976,0.074850299,0.924698795
ranking,888,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.681137725,0.416167665,0.946107784,0.300094924,0.362275449,0.107784431,0.254491018,0.297520661,0.619760479,0.21257485,0.407185629,0.342995169,0.895209581,0.997005988,0.101796407,0.897897898
ranking,888,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.679640719,0.416167665,0.943113772,0.306482457,0.366766467,0.106287425,0.260479042,0.289795918,0.622754491,0.209580838,0.413173653,0.336538462,0.889221557,0.997005988,0.107784431,0.891891892
ranking,1,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.643712575,0.351796407,0.935628743,0.34296335,0.347305389,0.068862275,0.278443114,0.198275862,0.568862275,0.134730539,0.434131737,0.236842105,0.874251497,0.997005988,0.122754491,0.876876877
ranking,1,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.642215569,0.350299401,0.934131737,0.346651128,0.348802395,0.067365269,0.281437126,0.193133047,0.568862275,0.131736527,0.437125749,0.231578947,0.871257485,0.997005988,0.125748503,0.873873874
ranking,2410,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.706586826,0.468562874,0.944610778,0.163417572,0.333832335,0.19011976,0.143712575,0.569506726,0.574850299,0.362275449,0.21257485,0.630208333,0.907185629,0.982035928,0.074850299,0.923780488
ranking,2410,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.703592814,0.461077844,0.946107784,0.157489923,0.326347305,0.188622754,0.137724551,0.577981651,0.562874251,0.359281437,0.203592814,0.638297872,0.910179641,0.982035928,0.071856287,0.926829268
ranking,1996,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.688622754,0.411676647,0.965568862,0.262510118,0.332335329,0.113772455,0.218562874,0.342342342,0.598802395,0.224550898,0.374251497,0.375,0.934131737,0.997005988,0.062874251,0.936936937
ranking,1996,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.686377246,0.407185629,0.965568862,0.268874673,0.332335329,0.109281437,0.223053892,0.328828829,0.598802395,0.215568862,0.383233533,0.36,0.934131737,0.997005988,0.062874251,0.936936937
true_balancing,888,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/27zdlcqm,0,0,0.667664671,0.389221557,0.946107784,0.371282684,0.375748503,0.067365269,0.308383234,0.179282869,0.643712575,0.134730539,0.508982036,0.209302326,0.892215569,1,0.107784431,0.892215569
true_balancing,888,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/27zdlcqm,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
